t,score,threshold,alert,y_true,switching,err_phys,err_cyber,err_event,attack_type
280,0.31902306022525384,1.6816989055870812,0,0,0,0.9237267374992371,0.8737742900848389,0.00289857923053205,none
281,0.27919535848071547,1.6816989055870812,0,0,0,0.9390224814414978,0.6568504571914673,0.003061280120164156,none
282,0.41694176986843967,1.6672444327811287,0,0,0,0.912827730178833,0.9180585741996765,0.0036793695762753487,none
283,0.30502649949259153,1.6558105566196732,0,0,0,0.8609085083007812,0.9135037064552307,0.003655232721939683,none
284,0.17777904876044473,1.641954569023036,0,0,0,0.8692039847373962,0.706292986869812,0.0028506505768746138,none
285,0.37921032658195364,1.6274992080802704,0,0,0,0.8252843618392944,0.9374116063117981,0.0032925731502473354,none
286,0.17145646763175298,1.6154618002168952,0,0,0,0.8463163375854492,0.8114386200904846,0.0037137323524802923,none
287,2.024272430997232,1.6012975842649568,0,0,0,1.130621075630188,1.1408379077911377,0.003844229970127344,none
288,0.33196470410289414,1.8126105508761436,0,0,0,0.9362885355949402,0.8469899892807007,0.0034796977415680885,none
289,0.3136605796546331,1.7974393397261883,0,0,0,0.9302759766578674,0.8196167945861816,0.0031625551637262106,none
290,0.4034398149996078,1.7821688351354654,0,0,0,0.9892594218254089,0.7913499474525452,0.003576506394892931,none
291,1.5525355719654539,1.7687360142047885,0,0,0,1.3400641679763794,0.9939614534378052,0.003944223280996084,none
292,0.6150662718560079,1.8664810921493866,0,0,0,1.0208805799484253,0.9213192462921143,0.0034132320433855057,none
293,1.3104682786936312,1.8591526004843877,0,0,0,1.4306384325027466,0.9236305356025696,0.004007745534181595,none
294,1.64058110791435,1.9136734035529521,0,0,0,1.2266770601272583,1.043523907661438,0.0038612596690654755,none
295,0.6765086822151483,2.0115361898041275,0,0,0,1.045143723487854,0.9250680208206177,0.004023668356239796,none
296,1.0562180631148492,2.003697129173454,0,0,0,1.3735120296478271,0.8337574601173401,0.004127981141209602,none
297,1.4072522046131235,2.0218990708085456,0,0,0,1.5741665363311768,0.8898290395736694,0.004020910710096359,none
298,1.2513503047781516,2.076762872322721,0,0,0,1.495261311531067,0.8082778453826904,0.004441734869033098,none
299,1.042602641961606,2.109952349605746,0,0,0,1.3584219217300415,0.872029721736908,0.004060810431838036,none
300,2.5315426370849425,2.121669205699315,0,0,1,1.922561526298523,0.9955593347549438,0.003972644452005625,none
